字符总数15687

字符	Unicode	次数	频度
加   	U+52A0	6	0.000382	00110000100
]     	U+005D	6	0.000382	00110000001
报   	U+62A5	6	0.000382	00110001100
制   	U+5236	6	0.000382	00110101111
[     	U+005B	6	0.000382	00110010010
到   	U+5230	6	0.000382	00110101110
先   	U+5148	6	0.000382	00110001101
你   	U+4F60	6	0.000382	00110011000
操   	U+64CD	6	0.000382	00110010001
某   	U+67D0	6	0.000382	00110001000
该   	U+8BE5	6	0.000382	00110010111
之   	U+4E4B	6	0.000382	00110010110
试   	U+8BD5	6	0.000382	00110010100
络   	U+7EDC	5	0.000319	110110101110
由   	U+7531	5	0.000319	110110101000
类   	U+7C7B	5	0.000319	110111000111
压   	U+538B	5	0.000319	110011010101
只   	U+53EA	5	0.000319	111001011001
另   	U+53E6	5	0.000319	111001011000
交   	U+4EA4	5	0.000319	110110100011
总   	U+603B	5	0.000319	110110100010
停   	U+505C	5	0.000319	110110100001
射   	U+5C04	5	0.000319	110110000000
小   	U+5C0F	5	0.000319	110110000001
好   	U+597D	5	0.000319	110110100000
需   	U+9700	5	0.000319	110110000010
给   	U+7ED9	5	0.000319	110110101001
须   	U+987B	5	0.000319	110110000011
量   	U+91CF	5	0.000319	110110000100
工   	U+5DE5	5	0.000319	110110000101
键   	U+952E	5	0.000319	110110011101
查   	U+67E5	5	0.000319	110110011100
它   	U+5B83	5	0.000319	110110001100
导   	U+5BFC	5	0.000319	110110001101
线   	U+7EBF	5	0.000319	110111000110
亮   	U+4EAE	5	0.000319	110110101010
刻   	U+523B	5	0.000319	110110010011
指   	U+6307	5	0.000319	110110010010
就   	U+5C31	5	0.000319	110110101011
校   	U+6821	5	0.000319	110011010100
'     	U+0027	4	0.000255	100101000110
每   	U+6BCF	4	0.000255	100101011111
议   	U+8BAE	4	0.000255	101010010001
认   	U+8BA4	4	0.000255	100011110011
闭   	U+95ED	4	0.000255	101010001100
>     	U+003E	4	0.000255	101010110101
确   	U+786E	4	0.000255	100101101011
最   	U+6700	4	0.000255	101010001101
留   	U+7559	4	0.000255	101010011100
全   	U+5168	4	0.000255	100011111010
情   	U+60C5	4	0.000255	100101010110
引   	U+5F15	4	0.000255	100101010101
种   	U+79CD	4	0.000255	100101101110
供   	U+4F9B	4	0.000255	100101010100
钟   	U+949F	4	0.000255	101010111000
率   	U+7387	4	0.000255	100101001110
同   	U+540C	4	0.000255	100101001101
日   	U+65E5	4	0.000255	101010001011
况   	U+51B5	4	0.000255	101010001010
Ⅲ   	U+2162	4	0.000255	101010001001
插   	U+63D2	4	0.000255	100011111000
映   	U+6620	4	0.000255	101100001100
多   	U+591A	4	0.000255	101010000101
令   	U+4EE4	4	0.000255	101010110100
思   	U+601D	4	0.000255	100101001010
氏   	U+6C0F	4	0.000255	101010111010
次   	U+6B21	4	0.000255	100101011110
至   	U+81F3	4	0.000255	101010000100
样   	U+6837	4	0.000255	100101001000
也   	U+4E5F	4	0.000255	101010110011
警   	U+8B66	4	0.000255	101100000001
－   	U+FF0D	4	0.000255	100101000010
光   	U+5149	4	0.000255	100011111011
块   	U+5757	4	0.000255	101010101110
因   	U+56E0	4	0.000255	101010101101
复   	U+590D	4	0.000255	100011111100
三   	U+4E09	4	0.000255	101010101011
重   	U+91CD	4	0.000255	101010101001
本   	U+672C	4	0.000255	100011111101
注   	U+6CE8	4	0.000255	100101011101
安   	U+5B89	4	0.000255	100101000000
写   	U+5199	4	0.000255	101010100111
位   	U+4F4D	4	0.000255	101010011000
建   	U+5EFA	4	0.000255	101010100110
打   	U+6253	4	0.000255	101010100101
当   	U+5F53	4	0.000255	101010100100
级   	U+7EA7	4	0.000255	101010011110
符   	U+7B26	4	0.000255	100101001011
切   	U+5207	3	0.000191	001101101010
优   	U+4F18	3	0.000191	001101101001
助   	U+52A9	3	0.000191	001100001011
问   	U+95EE	3	0.000191	001101101011
己   	U+5DF1	3	0.000191	001101101100
属   	U+5C5E	3	0.000191	001101101101
秒   	U+79D2	3	0.000191	001101101110
然   	U+7136	3	0.000191	001100001100
片   	U+7247	3	0.000191	001100001101
鼠   	U+9F20	3	0.000191	001100001110
取   	U+53D6	3	0.000191	001100001111
正   	U+6B63	3	0.000191	001100001010
准   	U+51C6	3	0.000191	001100010010
再   	U+518D	3	0.000191	001100010011
调   	U+8C03	3	0.000191	011001011110
荐   	U+8350	3	0.000191	001001000100
包   	U+5305	3	0.000191	001101101000
节   	U+8282	3	0.000191	011000000001
二   	U+4E8C	3	0.000191	011000000000
默   	U+9ED8	3	0.000191	001101101111
实   	U+5B9E	3	0.000191	001101011011
论   	U+8BBA	3	0.000191	001101011010
护   	U+62A4	3	0.000191	001100011100
决   	U+51B3	3	0.000191	001100000001
改   	U+6539	3	0.000191	001100000000
号   	U+53F7	3	0.000191	010010100000
合   	U+5408	3	0.000191	010010100001
配   	U+914D	3	0.000191	010010100010
处   	U+5904	3	0.000191	001001000111
型   	U+578B	3	0.000191	001001000110
芯   	U+82AF	3	0.000191	001100011101
除   	U+9664	3	0.000191	001100011110
换   	U+6362	3	0.000191	001100011111
括   	U+62EC	3	0.000191	001100100000
推   	U+63A8	3	0.000191	001100100001
没   	U+6CA1	3	0.000191	001101011001
区   	U+533A	3	0.000191	001101011000
解   	U+89E3	3	0.000191	1101101011111
视   	U+89C6	3	0.000191	001001000101
国   	U+56FD	3	0.000191	001101010111
扬   	U+626C	3	0.000191	001100100110
题   	U+9898	3	0.000191	001100100111
必   	U+5FC5	3	0.000191	001100101010
还   	U+8FD8	3	0.000191	001100101011
体   	U+4F53	3	0.000191	001100110010
性   	U+6027	3	0.000191	001100110011
转   	U+8F6C	3	0.000191	001100110100
较   	U+8F83	3	0.000191	001100110101
慢   	U+6162	3	0.000191	001100110110
才   	U+624D	3	0.000191	001100110111
现   	U+73B0	3	0.000191	001101010110
Y     	U+0059	3	0.000191	010010100011
顺   	U+987A	3	0.000191	001100111010
频   	U+9891	3	0.000191	001100111011
仅   	U+4EC5	3	0.000191	001101010101
与   	U+4E0E	3	0.000191	001101010000
灯   	U+706F	3	0.000191	001101010001
超   	U+8D85	3	0.000191	001101010100
比   	U+6BD4	3	0.000191	001101010010
求   	U+6C42	3	0.000191	001101010011
活   	U+6D3B	2	0.000127	1010100110111
初   	U+521D	2	0.000127	0110010111110
闹   	U+95F9	2	0.000127	1000110100100
闲   	U+95F2	2	0.000127	1000110100111
予   	U+4E88	2	0.000127	1000111100100
沸   	U+6CB8	2	0.000127	1010100110110
致   	U+81F4	2	0.000127	1000111100101
录   	U+5F55	2	0.000127	1000111101000
耗   	U+8017	2	0.000127	1010100111111
障   	U+969C	2	0.000127	1000111101011
故   	U+6545	2	0.000127	1000111110010
激   	U+6FC0	2	0.000127	1010100110100
依   	U+4F9D	2	0.000127	1010100110011
惯   	U+60EF	2	0.000127	1010100110010
例   	U+4F8B	2	0.000127	1010100100111
沉   	U+6C89	2	0.000127	1010101010000
厂   	U+5382	2	0.000127	1010101010001
闪   	U+95EA	2	0.000127	1001010000011
读   	U+8BFB	2	0.000127	1101101011110
恢   	U+6062	2	0.000127	1001010001111
参   	U+53C2	2	0.000127	1010101010101
列   	U+5217	2	0.000127	1001010010010
吱   	U+5431	2	0.000127	1010101011000
义   	U+4E49	2	0.000127	1010101011001
稳   	U+7A33	2	0.000127	1001010011001
又   	U+53C8	2	0.000127	1001010011110
反   	U+53CD	2	0.000127	1010101011110
原   	U+539F	2	0.000127	1010101011111
字   	U+5B57	2	0.000127	1010101100000
密   	U+5BC6	2	0.000127	1010101100001
表   	U+8868	2	0.000127	1010101100010
X     	U+0058	2	0.000127	1001010011111
得   	U+5F97	2	0.000127	1001010101111
箱   	U+7BB1	2	0.000127	1010101100100
组   	U+7EC4	2	0.000127	1010101100101
个   	U+4E2A	2	0.000127	1001011010100
<     	U+003C	2	0.000127	1001011010101
降   	U+964D	2	0.000127	1010100100001
事   	U+4E8B	2	0.000127	1010101101100
范   	U+8303	2	0.000127	1010101101101
失   	U+5931	2	0.000127	1010101101110
始   	U+59CB	2	0.000127	1010101101111
传   	U+4F20	2	0.000127	1010100100000
升   	U+5347	2	0.000127	1010101110010
华   	U+534E	2	0.000127	1010101110011
码   	U+7801	2	0.000127	1010100011111
么   	U+4E48	2	0.000127	1010101110110
告   	U+544A	2	0.000127	1010101110111
睡   	U+7761	2	0.000127	1010100011110
期   	U+671F	2	0.000127	1001011011000
K     	U+004B	2	0.000127	1001011011010
无   	U+65E0	2	0.000127	1001011011011
兼   	U+517C	2	0.000127	1001011011111
已   	U+5DF2	2	0.000127	1001011100000
遍   	U+904D	2	0.000127	1001011110000
那   	U+90A3	2	0.000127	1001011111110
醒   	U+9192	2	0.000127	1001011111111
目   	U+76EE	2	0.000127	1010100011101
并   	U+5E76	2	0.000127	1011000000000
看   	U+770B	2	0.000127	1010100000001
经   	U+7ECF	2	0.000127	1010100000010
台   	U+53F0	2	0.000127	1010100011100
习   	U+4E60	2	0.000127	1010100000011
摄   	U+6444	2	0.000127	1010100001100
假   	U+5047	2	0.000127	1010100001110
Ⅱ   	U+2161	2	0.000127	1011000011111
何   	U+4F55	2	0.000127	1011000000110
℃   	U+2103	2	0.000127	1011000011110
响   	U+54CD	2	0.000127	1011000011101
命   	U+547D	2	0.000127	1011000011100
明   	U+660E	2	0.000127	1011000011010
少   	U+5C11	2	0.000127	1011000001001
资   	U+8D44	2	0.000127	1011000001010
越   	U+8D8A	2	0.000127	1011000001011
旧   	U+65E7	2	0.000127	1010100010001
待   	U+5F85	2	0.000127	1011000010010
我   	U+6211	2	0.000127	1011000001101
买   	U+4E70	1	0.000064	10110000011100
回   	U+56DE	1	0.000064	10110000011101
辐   	U+8F90	1	0.000064	10110000011110
辑   	U+8F91	1	0.000064	10110000011111
赛   	U+8D5B	1	0.000064	10110000100000
足   	U+8DB3	1	0.000064	10110000100001
他   	U+4ED6	1	0.000064	10110000100010
们   	U+4EEC	1	0.000064	10110000100011
余   	U+4F59	1	0.000064	10110000011001
像   	U+50CF	1	0.000064	10110000100110
扭   	U+626D	1	0.000064	10110000100111
影   	U+5F71	1	0.000064	10110000011000
掉   	U+6389	1	0.000064	10101000100001
屉   	U+5C49	1	0.000064	10110000010001
新   	U+65B0	1	0.000064	10110000110110
方   	U+65B9	1	0.000064	10110000110111
任   	U+4EFB	1	0.000064	10110000010000
释   	U+91CA	1	0.000064	10110000001111
异   	U+5F02	1	0.000064	10110000001110
集   	U+96C6	1	0.000064	10110000001011
挺   	U+633A	1	0.000064	10101000100000
执   	U+6267	1	0.000064	10101000011111
修   	U+4FEE	1	0.000064	10101000011110
随   	U+968F	1	0.000064	10110000001010
减   	U+51CF	1	0.000064	10101000011011
}     	U+007D	1	0.000064	10101000011010
防   	U+9632	1	0.000064	10110000001001
门   	U+95E8	1	0.000064	10110000001000
放   	U+653E	1	0.000064	10110000000011
几   	U+51E0	1	0.000064	10110000000010
版   	U+7248	1	0.000064	10101000000001
热   	U+70ED	1	0.000064	10101000000000
英   	U+82F1	1	0.000064	10101011111111
妥   	U+59A5	1	0.000064	10101011111110
强   	U+5F3A	1	0.000064	10010111111011
际   	U+9645	1	0.000064	10010111111010
顿   	U+987F	1	0.000064	10010111111001
彩   	U+5F69	1	0.000064	10010111111000
规   	U+89C4	1	0.000064	10010111110111
被   	U+88AB	1	0.000064	10010111110110
妨   	U+59A8	1	0.000064	10010111110101
获   	U+83B7	1	0.000064	10010111110100
人   	U+4EBA	1	0.000064	10010111110011
计   	U+8BA1	1	0.000064	10010111110010
费   	U+8D39	1	0.000064	10010111110001
质   	U+8D28	1	0.000064	10010111110000
且   	U+4E14	1	0.000064	10010111101111
段   	U+6BB5	1	0.000064	10010111101110
条   	U+6761	1	0.000064	10010111101101
权   	U+6743	1	0.000064	10010111101100
核   	U+6838	1	0.000064	10010111101011
副   	U+526F	1	0.000064	10010111101010
前   	U+524D	1	0.000064	10010111101001
来   	U+6765	1	0.000064	10010111101000
发   	U+53D1	1	0.000064	10010111100111
涉   	U+6D89	1	0.000064	10010111100110
烦   	U+70E6	1	0.000064	10010111100101
烈   	U+70C8	1	0.000064	10010111100100
百   	U+767E	1	0.000064	10010111100010
互   	U+4E92	1	0.000064	10101011111101
双   	U+53CC	1	0.000064	10010111001111
串   	U+4E32	1	0.000064	10010111001110
毫   	U+6BEB	1	0.000064	10010111001101
毒   	U+6BD2	1	0.000064	10010111001100
逻   	U+903B	1	0.000064	10010111001011
带   	U+5E26	1	0.000064	10010111001010
干   	U+5E72	1	0.000064	10010111001000
笔   	U+7B14	1	0.000064	10010111000111
立   	U+7ACB	1	0.000064	10010111000110
基   	U+57FA	1	0.000064	10010111000101
缩   	U+7F29	1	0.000064	10010111000100
窗   	U+7A97	1	0.000064	10010111000011
矿   	U+77FF	1	0.000064	10010111000010
色   	U+8272	1	0.000064	10101011111100
许   	U+8BB8	1	0.000064	10101011111011
信   	U+4FE1	1	0.000064	10010110111101
愿   	U+613F	1	0.000064	10010110111100
让   	U+8BA9	1	0.000064	10101011111010
详   	U+8BE6	1	0.000064	10101011111001
　   	U+3000	1	0.000064	10010110110011
早   	U+65E9	1	0.000064	10010110110010
话   	U+8BDD	1	0.000064	10101011111000
辟   	U+8F9F	1	0.000064	10101001001000
边   	U+8FB9	1	0.000064	10101001001001
死   	U+6B7B	1	0.000064	10010101110011
步   	U+6B65	1	0.000064	10010101110010
谓   	U+8C13	1	0.000064	10010101110001
请   	U+8BF7	1	0.000064	10010101110000
联   	U+8054	1	0.000064	10101011000111
份   	U+4EFD	1	0.000064	10010101011101
达   	U+8FBE	1	0.000064	10010101011100
者   	U+8005	1	0.000064	10101011000110
远   	U+8FDC	1	0.000064	10101001001010
述   	U+8FF0	1	0.000064	10101001001011
病   	U+75C5	1	0.000064	10010100110001
生   	U+751F	1	0.000064	10010100110000
文   	U+6587	1	0.000064	10010100100111
整   	U+6574	1	0.000064	10010100100110
非   	U+975E	1	0.000064	10101001001100
烁   	U+70C1	1	0.000064	10101010101001
{     	U+007B	1	0.000064	10010100011101
%     	U+0025	1	0.000064	10010100011100
缺   	U+7F3A	1	0.000064	10010100001111
增   	U+589E	1	0.000064	10010100001110
点   	U+70B9	1	0.000064	10101010101000
编   	U+7F16	1	0.000064	10010100001101
约   	U+7EA6	1	0.000064	10010100001100
形   	U+5F62	1	0.000064	10101001001101
低   	U+4F4E	1	0.000064	10010100000101
采   	U+91C7	1	0.000064	10010100000100
抽   	U+62BD	1	0.000064	10001111100111
允   	U+5141	1	0.000064	10001111100110
流   	U+6D41	1	0.000064	10101001101010
浪   	U+6D6A	1	0.000064	10101001101011
抑   	U+6291	1	0.000064	10001111010101
扰   	U+6270	1	0.000064	10001111010100
志   	U+5FD7	1	0.000064	10001111010011
微   	U+5FAE	1	0.000064	10001111010010
简   	U+7B80	1	0.000064	10101001111101
图   	U+56FE	1	0.000064	10101001111100
叫   	U+53EB	1	0.000064	10101001110111
物   	U+7269	1	0.000064	10101001110110
更   	U+66F4	1	0.000064	10001101001101
普   	U+666E	1	0.000064	10001101001100
错   	U+9519	1	0.000064	10001101001011
铜   	U+94DC	1	0.000064	10001101001010
周   	U+5468	1	0.000064	10101001110101
月   	U+6708	1	0.000064	01100101111111
曾   	U+66FE	1	0.000064	01100101111110
着   	U+7740	1	0.000064	10101001110100
盹   	U+76F9	1	0.000064	10010111100011
平   	U+5E73	1	0.000064	10010111001001
